"DOY","ppfd_in_avg","ppfd_in_sd","ppfd_in_f_avg","ppfd_in_f_sd","gpp_avg","gpp_sd","reco_avg","reco_sd","date","vpd_avg","vpd_sd","Tair_avg","Tair_sd","nee_avg","nee_sd","swc_2.5_10_avg","swc_2.5_10_sd","swc_5_10_avg","swc_5_10_sd","swc_15_20_avg","swc_15_20_sd","swc_25_30_avg","swc_25_30_sd","swc_45_50_avg","swc_45_50_sd","swc_60_70_avg","swc_60_70_sd","swc_90_100_avg","swc_90_100_sd","swc_130_avg","swc_130_sd","Tsoi_2.5_10_avg","Tsoi_2.5_10_sd","precip","ef_avg","ef_sd","swc_all_sd","swc_all_avg","swc_shallow_sd","swc_shallow_avg","swc_deep_sd","swc_deep_avg"
1,270.054475833333,402.070804578696,270.054475833333,402.070804578696,0.720230332618542,0.836019340294216,0.582650174029167,0.262463737635032,2005-01-01,0.697260709336493,0.505593879064448,9.922375,5.25432594468393,-0.137580158592083,0.672585782361099,4.1170465724375,0.144815644188948,3.93325631214583,0.0999757134615141,6.904366143375,0.0431380416985865,5.94307130675,0.00557727469493081,6.343486827875,0.00558079153525669,5.26861688414583,0.00636287099544359,4.91121193770833,0.00513761558652474,4.44097231533333,0.00771613322304653,12.42235625,3.37969434738833,0,-0.0391707001018694,0.686858776331608,0.0263754341093344,5.23275353747135,0.0529297716823381,5.22443508367708,0.00187330092165668,5.24107199126562
2,144.625112916667,233.882280713266,144.625112916667,233.882280713266,0.626246763803125,0.756978833790782,0.609005380866667,0.111533396479,2005-01-02,0.489431648179418,0.21664511819566,11.1777083333333,2.05959326658417,-0.0172413829079167,0.679170843770223,4.262298293,0.36211834601199,4.01063970110417,0.152853464332223,6.86112763097917,0.0178659245542451,5.9403068679375,0.00509018184359495,6.340986727125,0.00534877098205975,5.26607127910417,0.00123819739638611,4.91337699241667,0.00247856560689268,4.44052446635417,0.000810192593919501,12.3643958333333,1.29423541035975,4.06400000000002,0.0232217386984711,0.920527432541815,0.0625291143784457,5.2544164947526,0.124987767442977,5.26859312325521,0.00178103501692089,5.24023986625
3,165.982579583333,266.678965167153,165.982579583333,266.678965167153,0.505243802970833,0.727028283513969,0.959130970964583,1.26114521558023,2005-01-03,0.37957352722585,0.312415207407949,11.800625,2.83961370331293,0.453887167986667,1.50555417696901,6.48315742022917,1.18587631138457,5.8088487956875,1.58116372654153,7.02500866670833,0.572066545058784,5.95728088554167,0.0436395790873864,6.34529799914583,0.00571514202085646,5.26827457435417,0.001172010002699,4.9131669679375,0.0036826226019997,4.438667970125,0.00388662655634082,11.889875,1.24617228091601,10.668,-0.506706911738004,4.36867856199542,0.414046977278457,5.77996290996615,0.82733319892805,6.31857394204167,0.00259237560227474,5.24135187789062
4,172.67649,297.9276804477,172.67649,297.9276804477,0.675962208700646,1.32827108091732,0.5539972637625,0.277014929126926,2005-01-04,0.445440624311543,0.21438474409913,9.25977083333333,3.08137620014025,-0.121964944958812,1.32188888390261,9.05217832747917,0.195265717372857,9.7303483133125,0.158163623388068,9.89676357641667,0.482999520797535,6.232071621375,0.0221054370181359,6.3481175455625,0.00765548935682654,5.273786250625,0.0037412435978786,4.91481347191667,0.00064982868501585,4.43957819077083,0.000370034139545172,9.66730625,1.60444614516227,2.286,-0.115323680038452,6.50613455220507,0.0897951364659003,6.98595716218229,0.177176126363219,8.72784045964583,0.00274151741213131,5.24407386471875
5,217.726191666667,317.902253651542,217.726191666667,317.902253651542,0.210686165391875,0.476647004893495,0.38210075365,0.584075959814847,2005-01-05,0.192355096941236,0.158890692728277,4.1084375,3.01929908666466,0.171414588265292,0.777038407005681,9.49370860704167,0.304456199819501,10.2461821009583,0.31752226844644,11.6111209320833,0.366130434262832,6.24127153695833,0.00624571070947215,6.3391306555625,0.00693190677846137,5.2827688088125,0.0632656634423858,4.9289719659375,0.0829732323080919,4.4513013345,0.0701513202430078,7.49119375,2.3387534354768,2.28600000000001,0.148097748047417,0.974215596108815,0.079157346874126,7.32430699273177,0.145998626123889,9.39807079426042,0.0539246823900356,5.25054319120312
6,271.65459125,384.570269288453,271.65459125,384.570269288453,0.338564020049021,0.59123560337618,0.22105983386875,0.170640332075046,2005-01-06,0.398647283638869,0.404616742501478,5.23447916666667,5.3116452072844,-0.117504186170625,0.596247458565582,8.88210492729167,0.187325310714493,9.5164673580625,0.207919954088069,11.6434841820833,0.10344811659427,6.22847467097917,0.00584124746592256,6.33179427172917,0.00500649552549686,5.2755511539375,0.00580565402823353,4.91707766322917,0.0051781554617697,4.4472828516875,0.00260354473982549,6.92975,3.14923310324336,0.254000000000011,-0.0686360949536722,0.68923942598398,0.0599660136338763,7.155279634875,0.120304041638948,9.06763278460417,0.0022805225720284,5.24292648514583
7,312.795950833333,455.619001589945,312.795950833333,455.619001589945,0.128771260955815,0.28026018856533,0.214114531613333,0.206163296756003,2005-01-07,0.745405321854118,0.552293769286022,8.7246875,6.29317818484614,0.0853432706689583,0.380377154134543,8.46567468577083,0.215104331543965,9.03712038454167,0.236983448526205,11.2715208885417,0.121572541024901,6.21490710647917,0.00553474849443622,6.32847139945833,0.00704275250836774,5.2733844535,0.00594283599261207,4.91729805314583,0.00542164676009404,4.45259994245833,0.00882224049940132,8.57299947916667,3.94244804849637,0,0.343740716624969,1.57421797005883,0.0691310772220385,6.99512211423698,0.140938299249883,8.74730576633333,0.00421969137765368,5.24293846214062
8,305.986604583333,441.268266081461,305.986604583333,441.268266081461,0.356321375829167,0.394685153926801,0.14682999888125,0.120916117601609,2005-01-08,1.03109162912425,0.528449753672303,12.6176041666667,5.19169365117414,-0.209491376960208,0.437441239067628,8.00510966785417,0.178781224500299,8.4751990088125,0.225282011945548,10.8286378172917,0.135461669925013,6.21208266877083,0.0066614419971318,6.33535381522917,0.00823792514207814,5.27360235191667,0.00394051107457021,4.91730209160417,0.00391241154270654,4.45221234972917,0.00913458307281002,10.2542447916667,3.93928789960609,0,-0.00486681604576258,0.771421955810161,0.065507228788957,6.81243747140104,0.132469903942254,8.38025729068229,0.00417653637987613,5.24461765211979
9,197.376369166667,297.443010902501,197.376369166667,297.443010902501,0.350731826311458,0.501289094021782,0.162225118192083,0.0720935962715676,2005-01-09,0.955762692136607,0.417353397979148,12.8948958333333,4.300824182467,-0.188506708140875,0.504045000716626,7.6683206699375,0.114450661615005,7.9952026860625,0.135202515503441,10.3885214414583,0.113932628272628,6.21234765683333,0.00495843611636326,6.34118004225,0.00443851682864732,5.27340884070833,0.00521777905940062,4.92347157245833,0.00454938735422083,4.45778989633333,0.00877775349927878,10.3638291666667,2.71522017466304,0,-0.662490387127526,3.66037195428832,0.044718356251307,6.65753035075521,0.0889826710675946,8.06609811357292,0.00233573221422689,5.2489625879375
10,297.595660833333,435.889118542825,297.595660833333,435.889118542825,0.337825477112292,0.395275498333865,0.271425415964583,0.181725503142247,2005-01-10,1.21270240814623,0.570731632269061,14.4579166666667,4.67049405484174,-0.0664000611395833,0.441164253304362,7.37730948452083,0.145428254460409,7.594707760375,0.174168666894248,10.0111372478333,0.11141817632574,6.21563234497917,0.00669705567905535,6.34809833777083,0.00787882264339172,5.27593435889583,0.00589686990449691,4.91819078439583,0.00626961704930396,4.45807831295833,0.00741983977351177,12.4556572916667,3.62093044360779,0,-1.88122962460315,12.1703965904912,0.0513908422302998,6.52488607896615,0.104019559938951,7.79969670942708,0.00307056676064995,5.25007544850521
