date,gcc_tower_center,gcc_NE,gcc_S,gcc_SW,gcc_W
1/1/2004,0.338,0.335,0.335,0.337,0.337
1/2/2004,0.338,0.335,0.335,0.336,0.335
1/3/2004,0.338,0.335,0.335,0.336,0.335
1/4/2004,0.338,0.335,0.335,0.336,0.335
1/5/2004,0.338,0.334,0.334,0.336,0.334
1/6/2004,0.337,0.333,0.334,0.335,0.333
1/7/2004,0.337,0.333,0.335,0.334,0.326
1/8/2004,0.337,0.333,0.335,0.334,0.326
1/9/2004,0.336,0.333,0.333,0.333,0.331
1/10/2004,0.336,0.333,0.333,0.333,0.331
1/11/2004,0.335,0.333,0.333,0.334,0.33
1/12/2004,0.335,0.334,0.336,0.334,0.331
1/13/2004,0.335,0.334,0.336,0.334,0.331
1/14/2004,0.335,0.334,0.336,0.334,0.331
1/15/2004,0.335,0.334,0.336,0.334,0.331
1/16/2004,0.335,0.334,0.336,0.334,0.331
1/17/2004,0.335,0.334,0.336,0.334,0.331
1/18/2004,0.335,0.333,0.335,0.333,0.33
1/19/2004,0.339,0.333,0.335,0.329,0.33
1/20/2004,0.339,0.333,0.334,0.329,0.33
1/21/2004,0.339,0.333,0.334,0.328,0.331
1/22/2004,0.331,0.332,0.334,0.326,0.33
1/23/2004,0.331,0.332,0.333,0.326,0.33
1/24/2004,0.33,0.332,0.333,0.326,0.33
1/25/2004,0.33,0.332,0.333,0.327,0.33
1/26/2004,0.331,0.332,0.333,0.328,0.33
1/27/2004,0.33,0.332,0.333,0.326,0.33
1/28/2004,0.332,0.332,0.332,0.324,0.33
1/29/2004,0.332,0.332,0.332,0.324,0.33
1/30/2004,0.332,0.332,0.332,0.324,0.331
1/31/2004,0.333,0.332,0.332,0.324,0.331
2/1/2004,0.332,0.332,0.332,0.325,0.33
2/2/2004,0.332,0.332,0.332,0.326,0.33
2/3/2004,0.33,0.332,0.332,0.327,0.331
2/4/2004,0.332,0.331,0.332,0.331,0.331
2/5/2004,0.331,0.331,0.332,0.331,0.331
2/6/2004,0.331,0.331,0.332,0.331,0.33
2/7/2004,0.331,0.331,0.332,0.331,0.33
2/8/2004,0.331,0.331,0.332,0.331,0.33
2/9/2004,0.331,0.331,0.332,0.331,0.33
2/10/2004,0.331,0.331,0.332,0.33,0.331
2/11/2004,0.331,0.331,0.332,0.33,0.331
2/12/2004,0.331,0.331,0.332,0.33,0.331
2/13/2004,0.331,0.331,0.332,0.33,0.331
2/14/2004,0.331,0.331,0.332,0.33,0.331
2/15/2004,0.33,0.331,0.332,0.33,0.331
2/16/2004,0.33,0.331,0.332,0.33,0.331
2/17/2004,0.33,0.331,0.332,0.33,0.331
2/18/2004,0.33,0.331,0.332,0.33,0.331
2/19/2004,0.33,0.331,0.332,0.329,0.331
2/20/2004,0.33,0.331,0.332,0.329,0.33
2/21/2004,0.33,0.331,0.332,0.33,0.331
2/22/2004,0.329,0.331,0.332,0.329,0.331
2/23/2004,0.329,0.331,0.332,0.329,0.331
2/24/2004,0.329,0.33,0.332,0.33,0.331
2/25/2004,0.329,0.33,0.332,0.33,0.331
2/26/2004,0.329,0.331,0.332,0.33,0.331
2/27/2004,0.329,0.331,0.332,0.33,0.331
2/28/2004,0.33,0.33,0.332,0.33,0.331
2/29/2004,0.33,0.33,0.332,0.33,0.33
3/1/2004,0.33,0.33,0.332,0.329,0.33
3/2/2004,0.33,0.33,0.332,0.329,0.33
3/3/2004,0.329,0.33,0.332,0.329,0.33
3/4/2004,0.329,0.33,0.332,0.329,0.33
3/5/2004,0.329,0.33,0.331,0.329,0.33
3/6/2004,0.329,0.33,0.332,0.329,0.33
3/7/2004,0.329,0.33,0.331,0.329,0.329
3/8/2004,0.33,0.33,0.331,0.329,0.329
3/9/2004,0.33,0.33,0.331,0.329,0.329
3/10/2004,0.33,0.33,0.331,0.329,0.329
3/11/2004,0.33,0.33,0.331,0.329,0.329
3/12/2004,0.33,0.33,0.331,0.329,0.329
3/13/2004,0.33,0.33,0.331,0.329,0.329
3/14/2004,0.33,0.33,0.331,0.329,0.329
3/15/2004,0.33,0.33,0.332,0.329,0.329
3/16/2004,0.331,0.33,0.332,0.329,0.329
3/17/2004,0.331,0.33,0.333,0.329,0.329
3/18/2004,0.331,0.33,0.332,0.328,0.328
3/19/2004,0.332,0.331,0.333,0.329,0.329
3/20/2004,0.332,0.331,0.333,0.33,0.33
3/21/2004,0.332,0.331,0.333,0.33,0.33
3/22/2004,0.333,0.331,0.334,0.33,0.33
3/23/2004,0.331,0.33,0.332,0.329,0.329
3/24/2004,0.331,0.331,0.333,0.329,0.329
3/25/2004,0.332,0.331,0.333,0.33,0.329
3/26/2004,0.332,0.331,0.333,0.33,0.329
3/27/2004,0.332,0.331,0.333,0.33,0.329
3/28/2004,0.332,0.331,0.333,0.33,0.329
3/29/2004,0.332,0.332,0.334,0.33,0.329
3/30/2004,0.332,0.332,0.334,0.33,0.329
3/31/2004,0.331,0.332,0.334,0.33,0.329
4/1/2004,0.332,0.332,0.334,0.331,0.33
4/2/2004,0.333,0.333,0.335,0.332,0.331
4/3/2004,0.333,0.333,0.335,0.332,0.331
4/4/2004,0.333,0.334,0.336,0.333,0.332
4/5/2004,0.335,0.334,0.337,0.333,0.332
4/6/2004,0.336,0.335,0.338,0.334,0.334
4/7/2004,0.336,0.336,0.339,0.335,
4/8/2004,0.335,0.335,0.338,0.335,0.334
4/9/2004,0.336,0.336,0.338,0.336,0.334
4/10/2004,0.336,0.336,0.338,0.335,0.335
4/11/2004,0.336,0.336,0.339,0.336,0.335
4/12/2004,0.336,0.336,0.339,0.336,0.334
4/13/2004,0.336,0.336,0.339,0.336,0.334
4/14/2004,0.336,0.336,0.338,0.336,0.334
4/15/2004,0.336,0.336,0.339,0.336,0.335
4/16/2004,0.336,0.336,0.339,0.336,0.335
4/17/2004,0.336,0.336,0.339,0.337,0.335
4/18/2004,0.337,0.337,0.339,0.337,0.336
4/19/2004,0.337,0.337,0.339,0.337,0.336
4/20/2004,0.337,0.337,0.339,0.337,0.336
4/21/2004,0.337,0.337,0.34,0.337,0.336
4/22/2004,0.337,0.337,0.339,0.338,0.337
4/23/2004,0.337,0.337,0.34,0.338,0.337
4/24/2004,0.337,0.337,0.34,0.338,0.337
4/25/2004,0.337,0.337,0.34,0.338,0.337
4/26/2004,0.337,0.337,0.34,0.338,0.337
4/27/2004,0.337,0.337,0.34,0.337,0.337
4/28/2004,0.337,0.337,0.34,0.337,0.337
4/29/2004,0.337,0.337,0.34,0.337,0.337
4/30/2004,0.337,0.337,0.339,0.337,0.337
5/1/2004,0.337,0.336,0.339,0.337,0.336
5/2/2004,0.337,0.336,0.339,0.337,0.335
5/3/2004,0.336,0.336,0.339,0.337,0.335
5/4/2004,0.336,0.336,0.339,0.337,0.335
5/5/2004,0.336,0.336,0.339,0.337,0.335
5/6/2004,0.336,0.336,0.339,0.336,0.334
5/7/2004,0.336,0.336,0.338,0.336,0.334
5/8/2004,0.336,0.336,0.338,0.336,0.333
5/9/2004,0.336,0.336,0.338,0.336,0.333
5/10/2004,0.336,0.336,0.337,0.336,0.333
5/11/2004,0.337,0.336,0.337,0.336,0.332
5/12/2004,0.337,0.336,0.337,0.336,0.332
5/13/2004,0.336,0.336,0.337,0.336,0.332
5/14/2004,0.336,0.336,0.337,0.336,0.332
5/15/2004,0.336,0.336,0.337,0.336,0.332
5/16/2004,0.336,0.336,0.337,0.336,0.331
5/17/2004,0.336,0.336,0.337,0.336,0.332
5/18/2004,0.335,0.336,0.337,0.336,0.332
5/19/2004,0.336,0.336,0.337,0.336,0.332
5/20/2004,0.336,0.335,0.337,0.336,0.332
5/21/2004,0.336,0.335,0.337,0.336,0.332
5/22/2004,0.336,0.335,0.337,0.336,0.332
5/23/2004,0.336,0.335,0.337,0.336,0.332
5/24/2004,0.336,0.335,0.337,0.336,0.332
5/25/2004,0.336,0.335,0.337,0.335,0.333
5/26/2004,0.336,0.335,0.337,0.335,0.333
5/27/2004,0.335,0.334,0.337,0.335,0.332
5/28/2004,0.335,0.334,0.337,0.334,0.332
5/29/2004,0.335,0.334,0.337,0.334,0.331
5/30/2004,0.335,0.334,0.336,0.334,0.331
5/31/2004,0.335,0.334,0.336,0.334,0.332
6/1/2004,0.334,0.334,0.336,0.334,0.332
6/2/2004,0.335,0.333,0.336,0.334,0.332
6/3/2004,0.335,0.333,0.336,0.334,0.332
6/4/2004,0.335,0.333,0.336,0.334,0.331
6/5/2004,0.335,0.333,0.336,0.334,0.331
