year,type,UD_med,SD_med,DD_med,RD_med,GSL_med,UD_mad,SD_mad,DD_mad,RD_mad,GSL_mad,rate_green_up_relative,rate_seness_relative,rate_green_up_raw,rate_seness_raw
2015,grass,196.9616657,245.4000818,270.7732473,305.6617763,112.3467723,1.835698166,0.49859408,0.928349857,4.568052278,2.767629614,0.006234839,-0.008513091,0.000371606,0.00031529
2016,grass,181.9254884,220.9645343,230.8721938,290.982887,109.0573986,1.496547634,0.585138187,0.262132724,6.742809573,8.239357207,0.01010871,-0.005603805,0.000819692,0.000449171
2017,grass,189.3928037,214.6110524,224.2201788,253.3311579,64.17062248,2.912375407,1.376708853,1.161520434,3.174914882,1.068579028,0.02181578,-0.01869617,0.001149961,0.000961836
2018,grass,184.4655451,222.4160667,234.6928979,272.7117757,88.2541498,5.483037533,4.982421928,1.662119657,3.533730472,4.858348249,0.01957719,-0.01355371,0.000790503,0.000526054
2019,grass,194.2285586,229.9103342,285.1107092,305.7375682,115.8456872,9.001864095,0.697941141,0.301517845,0.446841111,4.697770808,0.001664046,-0.005944573,0.000140128,0.000533285
2020,grass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
2015,tree,69.40984974,100.2688274,262.0681723,321.8116809,254.3094797,2.993754824,1.807258807,2.075394704,10.6547751,13.65906215,0.0246022,-0.004324968,0.001523058,0.00028455
2016,tree,68.269019,94.37408598,262.6565858,343.3414371,273.3786276,0.344962057,1.01906316,4.241171521,2.153221789,2.632297293,0.02877713,-0.007275476,0.002145177,0.00028506
2018,tree,86.78872788,110.6020052,307.2981,339.30965,252.5209222,3.007302586,2.422532595,2.4055185,7.56548541,10.05305077,0.02871753,-0.002311265,0.001175815,NA
2019,tree,83.65803965,107.5344605,258.7873064,379.0281308,298.7098195,4.951481192,4.513127507,35.30984527,35.15197335,29.71653091,0.03614871,-0.003817734,0.003685645,0.000291083
2020,tree,95.71547605,121.3721891,234.8104679,330.955165,231.2325315,1.593702323,1.329267729,13.53450707,5.726599506,4.285178573,0.03914774,-0.0034056,0.002767307,0.000249624
